2024-06-21 15:40:44,215 - DEBUG - 開始錄製按鈕被按下
2024-06-21 15:40:44,215 - DEBUG - 選擇錄製區域
2024-06-21 15:40:46,501 - DEBUG - 鼠標按下: (1249, 193)
2024-06-21 15:50:26,459 - DEBUG - 拖動鼠標: (1298, 274) - 寬: 56, 高: 77
2024-06-21 15:50:26,463 - DEBUG - 拖動鼠標: (1301, 278) - 寬: 59, 高: 81
2024-06-21 15:50:26,467 - DEBUG - 拖動鼠標: (1304, 281) - 寬: 62, 高: 84
2024-06-21 15:50:26,471 - DEBUG - 拖動鼠標: (1306, 284) - 寬: 64, 高: 87
2024-06-21 15:50:26,476 - DEBUG - 拖動鼠標: (1309, 287) - 寬: 67, 高: 90
2024-06-21 15:50:26,479 - DEBUG - 拖動鼠標: (1312, 290) - 寬: 70, 高: 93
2024-06-21 15:50:26,482 - DEBUG - 拖動鼠標: (1315, 293) - 寬: 73, 高: 96
2024-06-21 15:50:26,486 - DEBUG - 拖動鼠標: (1320, 297) - 寬: 78, 高: 100
2024-06-21 15:50:26,491 - DEBUG - 拖動鼠標: (1323, 302) - 寬: 81, 高: 105
2024-06-21 15:50:26,495 - DEBUG - 拖動鼠標: (1326, 306) - 寬: 84, 高: 109
2024-06-21 15:50:26,499 - DEBUG - 拖動鼠標: (1329, 311) - 寬: 87, 高: 114
2024-06-21 15:50:26,503 - DEBUG - 拖動鼠標: (1333, 315) - 寬: 91, 高: 118
2024-06-21 15:50:26,507 - DEBUG - 拖動鼠標: (1336, 320) - 寬: 94, 高: 123
2024-06-21 15:50:26,511 - DEBUG - 拖動鼠標: (1341, 324) - 寬: 99, 高: 127
2024-06-21 15:50:26,515 - DEBUG - 拖動鼠標: (1345, 329) - 寬: 103, 高: 132
2024-06-21 15:50:26,519 - DEBUG - 拖動鼠標: (1350, 334) - 寬: 108, 高: 137
2024-06-21 15:50:26,523 - DEBUG - 拖動鼠標: (1355, 338) - 寬: 113, 高: 141
2024-06-21 15:50:26,527 - DEBUG - 拖動鼠標: (1359, 343) - 寬: 117, 高: 146
2024-06-21 15:50:26,531 - DEBUG - 拖動鼠標: (1364, 346) - 寬: 122, 高: 149
2024-06-21 15:50:26,535 - DEBUG - 拖動鼠標: (1368, 350) - 寬: 126, 高: 153
2024-06-21 15:50:26,539 - DEBUG - 拖動鼠標: (1373, 355) - 寬: 131, 高: 158
2024-06-21 15:50:26,543 - DEBUG - 拖動鼠標: (1378, 360) - 寬: 136, 高: 163
2024-06-21 15:50:26,547 - DEBUG - 拖動鼠標: (1385, 365) - 寬: 143, 高: 168
2024-06-21 15:50:26,550 - DEBUG - 拖動鼠標: (1392, 372) - 寬: 150, 高: 175
2024-06-21 15:50:26,555 - DEBUG - 拖動鼠標: (1396, 377) - 寬: 154, 高: 180
2024-06-21 15:50:26,559 - DEBUG - 拖動鼠標: (1404, 384) - 寬: 162, 高: 187
2024-06-21 15:50:26,563 - DEBUG - 拖動鼠標: (1411, 391) - 寬: 169, 高: 194
2024-06-21 15:50:26,567 - DEBUG - 拖動鼠標: (1416, 396) - 寬: 174, 高: 199
2024-06-21 15:50:26,571 - DEBUG - 拖動鼠標: (1423, 401) - 寬: 181, 高: 204
2024-06-21 15:50:26,575 - DEBUG - 拖動鼠標: (1427, 404) - 寬: 185, 高: 207
2024-06-21 15:50:26,578 - DEBUG - 拖動鼠標: (1432, 407) - 寬: 190, 高: 210
2024-06-21 15:50:26,583 - DEBUG - 拖動鼠標: (1436, 410) - 寬: 194, 高: 213
2024-06-21 15:50:26,588 - DEBUG - 拖動鼠標: (1441, 415) - 寬: 199, 高: 218
2024-06-21 15:50:26,591 - DEBUG - 拖動鼠標: (1445, 418) - 寬: 203, 高: 221
2024-06-21 15:50:26,595 - DEBUG - 拖動鼠標: (1451, 421) - 寬: 209, 高: 224
2024-06-21 15:50:26,599 - DEBUG - 拖動鼠標: (1456, 424) - 寬: 214, 高: 227
2024-06-21 15:50:26,602 - DEBUG - 拖動鼠標: (1461, 428) - 寬: 219, 高: 231
2024-06-21 15:50:26,607 - DEBUG - 拖動鼠標: (1467, 432) - 寬: 225, 高: 235
2024-06-21 15:50:26,611 - DEBUG - 拖動鼠標: (1472, 435) - 寬: 230, 高: 238
2024-06-21 15:50:26,615 - DEBUG - 拖動鼠標: (1476, 438) - 寬: 234, 高: 241
2024-06-21 15:50:26,619 - DEBUG - 拖動鼠標: (1481, 441) - 寬: 239, 高: 244
2024-06-21 15:50:26,623 - DEBUG - 拖動鼠標: (1485, 444) - 寬: 243, 高: 247
2024-06-21 15:50:26,627 - DEBUG - 拖動鼠標: (1490, 447) - 寬: 248, 高: 250
2024-06-21 15:50:26,631 - DEBUG - 拖動鼠標: (1494, 450) - 寬: 252, 高: 253
2024-06-21 15:50:26,635 - DEBUG - 拖動鼠標: (1499, 453) - 寬: 257, 高: 256
2024-06-21 15:50:26,639 - DEBUG - 拖動鼠標: (1503, 456) - 寬: 261, 高: 259
2024-06-21 15:50:26,643 - DEBUG - 拖動鼠標: (1508, 459) - 寬: 266, 高: 262
2024-06-21 15:50:26,647 - DEBUG - 拖動鼠標: (1514, 462) - 寬: 272, 高: 265
2024-06-21 15:50:26,651 - DEBUG - 拖動鼠標: (1518, 465) - 寬: 276, 高: 268
2024-06-21 15:50:26,655 - DEBUG - 拖動鼠標: (1523, 468) - 寬: 281, 高: 271
2024-06-21 15:50:26,659 - DEBUG - 拖動鼠標: (1527, 471) - 寬: 285, 高: 274
2024-06-21 15:50:26,663 - DEBUG - 拖動鼠標: (1532, 474) - 寬: 290, 高: 277
2024-06-21 15:50:26,666 - DEBUG - 拖動鼠標: (1536, 477) - 寬: 294, 高: 280
2024-06-21 15:50:26,671 - DEBUG - 拖動鼠標: (1541, 480) - 寬: 299, 高: 283
2024-06-21 15:50:26,676 - DEBUG - 拖動鼠標: (1545, 483) - 寬: 303, 高: 286
2024-06-21 15:50:26,680 - DEBUG - 拖動鼠標: (1548, 486) - 寬: 306, 高: 289
2024-06-21 15:50:26,683 - DEBUG - 拖動鼠標: (1553, 489) - 寬: 311, 高: 292
2024-06-21 15:50:26,687 - DEBUG - 拖動鼠標: (1555, 491) - 寬: 313, 高: 294
2024-06-21 15:50:26,691 - DEBUG - 拖動鼠標: (1560, 494) - 寬: 318, 高: 297
2024-06-21 15:50:26,694 - DEBUG - 拖動鼠標: (1564, 497) - 寬: 322, 高: 300
2024-06-21 15:50:26,699 - DEBUG - 拖動鼠標: (1569, 500) - 寬: 327, 高: 303
2024-06-21 15:50:26,703 - DEBUG - 拖動鼠標: (1572, 502) - 寬: 330, 高: 305
2024-06-21 15:50:26,707 - DEBUG - 拖動鼠標: (1574, 503) - 寬: 332, 高: 306
2024-06-21 15:50:26,711 - DEBUG - 拖動鼠標: (1577, 505) - 寬: 335, 高: 308
2024-06-21 15:50:26,715 - DEBUG - 拖動鼠標: (1578, 506) - 寬: 336, 高: 309
2024-06-21 15:50:26,718 - DEBUG - 拖動鼠標: (1581, 508) - 寬: 339, 高: 311
2024-06-21 15:50:26,723 - DEBUG - 拖動鼠標: (1582, 508) - 寬: 340, 高: 311
2024-06-21 15:50:26,727 - DEBUG - 拖動鼠標: (1584, 509) - 寬: 342, 高: 312
2024-06-21 15:50:26,731 - DEBUG - 拖動鼠標: (1586, 511) - 寬: 344, 高: 314
2024-06-21 15:50:26,734 - DEBUG - 拖動鼠標: (1587, 512) - 寬: 345, 高: 315
2024-06-21 15:50:26,739 - DEBUG - 拖動鼠標: (1588, 513) - 寬: 346, 高: 316
2024-06-21 15:50:26,747 - DEBUG - 拖動鼠標: (1590, 514) - 寬: 348, 高: 317
2024-06-21 15:50:26,751 - DEBUG - 拖動鼠標: (1590, 515) - 寬: 348, 高: 318
2024-06-21 15:50:26,755 - DEBUG - 拖動鼠標: (1592, 516) - 寬: 350, 高: 319
2024-06-21 15:50:26,759 - DEBUG - 拖動鼠標: (1593, 516) - 寬: 351, 高: 319
2024-06-21 15:50:26,763 - DEBUG - 拖動鼠標: (1593, 518) - 寬: 351, 高: 321
2024-06-21 15:50:26,767 - DEBUG - 拖動鼠標: (1594, 519) - 寬: 352, 高: 322
2024-06-21 15:50:26,771 - DEBUG - 拖動鼠標: (1595, 520) - 寬: 353, 高: 323
2024-06-21 15:50:26,775 - DEBUG - 拖動鼠標: (1595, 521) - 寬: 353, 高: 324
2024-06-21 15:50:26,779 - DEBUG - 拖動鼠標: (1596, 521) - 寬: 354, 高: 324
2024-06-21 15:50:26,783 - DEBUG - 拖動鼠標: (1596, 522) - 寬: 354, 高: 325
2024-06-21 15:50:26,787 - DEBUG - 拖動鼠標: (1596, 523) - 寬: 354, 高: 326
2024-06-21 15:50:26,791 - DEBUG - 拖動鼠標: (1597, 524) - 寬: 355, 高: 327
2024-06-21 15:50:26,795 - DEBUG - 拖動鼠標: (1598, 526) - 寬: 356, 高: 329
2024-06-21 15:50:26,799 - DEBUG - 拖動鼠標: (1598, 527) - 寬: 356, 高: 330
2024-06-21 15:50:26,803 - DEBUG - 拖動鼠標: (1600, 528) - 寬: 358, 高: 331
2024-06-21 15:50:26,806 - DEBUG - 拖動鼠標: (1601, 529) - 寬: 359, 高: 332
2024-06-21 15:50:26,811 - DEBUG - 拖動鼠標: (1602, 530) - 寬: 360, 高: 333
2024-06-21 15:50:26,815 - DEBUG - 拖動鼠標: (1602, 531) - 寬: 360, 高: 334
2024-06-21 15:50:26,819 - DEBUG - 拖動鼠標: (1603, 532) - 寬: 361, 高: 335
2024-06-21 15:50:26,827 - DEBUG - 拖動鼠標: (1604, 533) - 寬: 362, 高: 336
2024-06-21 15:50:26,831 - DEBUG - 拖動鼠標: (1605, 535) - 寬: 363, 高: 338
2024-06-21 15:50:26,834 - DEBUG - 拖動鼠標: (1605, 536) - 寬: 363, 高: 339
2024-06-21 15:50:26,838 - DEBUG - 拖動鼠標: (1606, 538) - 寬: 364, 高: 341
2024-06-21 15:50:26,843 - DEBUG - 拖動鼠標: (1606, 539) - 寬: 364, 高: 342
2024-06-21 15:50:26,847 - DEBUG - 拖動鼠標: (1606, 541) - 寬: 364, 高: 344
2024-06-21 15:50:26,851 - DEBUG - 拖動鼠標: (1608, 543) - 寬: 366, 高: 346
2024-06-21 15:50:26,855 - DEBUG - 拖動鼠標: (1608, 544) - 寬: 366, 高: 347
2024-06-21 15:50:26,859 - DEBUG - 拖動鼠標: (1610, 547) - 寬: 368, 高: 350
2024-06-21 15:50:26,863 - DEBUG - 拖動鼠標: (1612, 551) - 寬: 370, 高: 354
2024-06-21 15:50:26,868 - DEBUG - 拖動鼠標: (1613, 554) - 寬: 371, 高: 357
2024-06-21 15:50:26,871 - DEBUG - 拖動鼠標: (1616, 558) - 寬: 374, 高: 361
2024-06-21 15:50:26,876 - DEBUG - 拖動鼠標: (1617, 561) - 寬: 375, 高: 364
2024-06-21 15:50:26,879 - DEBUG - 拖動鼠標: (1619, 562) - 寬: 377, 高: 365
2024-06-21 15:50:26,883 - DEBUG - 拖動鼠標: (1621, 565) - 寬: 379, 高: 368
2024-06-21 15:50:26,887 - DEBUG - 拖動鼠標: (1623, 568) - 寬: 381, 高: 371
2024-06-21 15:50:26,891 - DEBUG - 拖動鼠標: (1624, 570) - 寬: 382, 高: 373
2024-06-21 15:50:26,895 - DEBUG - 拖動鼠標: (1624, 573) - 寬: 382, 高: 376
2024-06-21 15:50:26,899 - DEBUG - 拖動鼠標: (1625, 576) - 寬: 383, 高: 379
2024-06-21 15:50:26,903 - DEBUG - 拖動鼠標: (1625, 577) - 寬: 383, 高: 380
2024-06-21 15:50:26,908 - DEBUG - 拖動鼠標: (1627, 579) - 寬: 385, 高: 382
2024-06-21 15:50:26,911 - DEBUG - 拖動鼠標: (1628, 582) - 寬: 386, 高: 385
2024-06-21 15:50:26,916 - DEBUG - 拖動鼠標: (1629, 586) - 寬: 387, 高: 389
2024-06-21 15:50:26,919 - DEBUG - 拖動鼠標: (1632, 591) - 寬: 390, 高: 394
2024-06-21 15:50:26,923 - DEBUG - 拖動鼠標: (1635, 595) - 寬: 393, 高: 398
2024-06-21 15:50:26,927 - DEBUG - 拖動鼠標: (1638, 600) - 寬: 396, 高: 403
2024-06-21 15:50:26,932 - DEBUG - 拖動鼠標: (1641, 604) - 寬: 399, 高: 407
2024-06-21 15:50:26,935 - DEBUG - 拖動鼠標: (1643, 610) - 寬: 401, 高: 413
2024-06-21 15:50:26,939 - DEBUG - 拖動鼠標: (1646, 615) - 寬: 404, 高: 418
2024-06-21 15:50:26,943 - DEBUG - 拖動鼠標: (1649, 619) - 寬: 407, 高: 422
2024-06-21 15:50:26,947 - DEBUG - 拖動鼠標: (1650, 624) - 寬: 408, 高: 427
2024-06-21 15:50:26,951 - DEBUG - 拖動鼠標: (1653, 628) - 寬: 411, 高: 431
2024-06-21 15:50:26,955 - DEBUG - 拖動鼠標: (1655, 633) - 寬: 413, 高: 436
2024-06-21 15:50:26,959 - DEBUG - 拖動鼠標: (1656, 635) - 寬: 414, 高: 438
2024-06-21 15:50:26,963 - DEBUG - 拖動鼠標: (1659, 638) - 寬: 417, 高: 441
2024-06-21 15:50:26,967 - DEBUG - 拖動鼠標: (1660, 643) - 寬: 418, 高: 446
2024-06-21 15:50:26,972 - DEBUG - 拖動鼠標: (1663, 645) - 寬: 421, 高: 448
2024-06-21 15:50:26,975 - DEBUG - 拖動鼠標: (1665, 650) - 寬: 423, 高: 453
2024-06-21 15:50:26,979 - DEBUG - 拖動鼠標: (1666, 653) - 寬: 424, 高: 456
2024-06-21 15:50:26,983 - DEBUG - 拖動鼠標: (1669, 657) - 寬: 427, 高: 460
2024-06-21 15:50:26,988 - DEBUG - 拖動鼠標: (1670, 660) - 寬: 428, 高: 463
2024-06-21 15:50:26,991 - DEBUG - 拖動鼠標: (1672, 663) - 寬: 430, 高: 466
2024-06-21 15:50:26,996 - DEBUG - 拖動鼠標: (1675, 665) - 寬: 433, 高: 468
2024-06-21 15:50:26,999 - DEBUG - 拖動鼠標: (1676, 670) - 寬: 434, 高: 473
2024-06-21 15:50:27,003 - DEBUG - 拖動鼠標: (1677, 673) - 寬: 435, 高: 476
2024-06-21 15:50:27,007 - DEBUG - 拖動鼠標: (1679, 675) - 寬: 437, 高: 478
2024-06-21 15:50:27,012 - DEBUG - 拖動鼠標: (1680, 678) - 寬: 438, 高: 481
2024-06-21 15:50:27,014 - DEBUG - 拖動鼠標: (1681, 679) - 寬: 439, 高: 482
2024-06-21 15:50:27,019 - DEBUG - 拖動鼠標: (1683, 682) - 寬: 441, 高: 485
2024-06-21 15:50:27,023 - DEBUG - 拖動鼠標: (1685, 683) - 寬: 443, 高: 486
2024-06-21 15:50:27,027 - DEBUG - 拖動鼠標: (1685, 686) - 寬: 443, 高: 489
2024-06-21 15:50:27,031 - DEBUG - 拖動鼠標: (1686, 687) - 寬: 444, 高: 490
2024-06-21 15:50:27,034 - DEBUG - 拖動鼠標: (1689, 689) - 寬: 447, 高: 492
2024-06-21 15:50:27,039 - DEBUG - 拖動鼠標: (1689, 690) - 寬: 447, 高: 493
2024-06-21 15:50:27,043 - DEBUG - 拖動鼠標: (1690, 693) - 寬: 448, 高: 496
2024-06-21 15:50:27,047 - DEBUG - 拖動鼠標: (1691, 694) - 寬: 449, 高: 497
2024-06-21 15:50:27,051 - DEBUG - 拖動鼠標: (1693, 697) - 寬: 451, 高: 500
2024-06-21 15:50:27,055 - DEBUG - 拖動鼠標: (1694, 698) - 寬: 452, 高: 501
2024-06-21 15:50:27,059 - DEBUG - 拖動鼠標: (1695, 700) - 寬: 453, 高: 503
2024-06-21 15:50:27,062 - DEBUG - 拖動鼠標: (1696, 701) - 寬: 454, 高: 504
2024-06-21 15:50:27,067 - DEBUG - 拖動鼠標: (1697, 704) - 寬: 455, 高: 507
2024-06-21 15:50:27,071 - DEBUG - 拖動鼠標: (1697, 705) - 寬: 455, 高: 508
2024-06-21 15:50:27,075 - DEBUG - 拖動鼠標: (1699, 707) - 寬: 457, 高: 510
2024-06-21 15:50:27,079 - DEBUG - 拖動鼠標: (1699, 709) - 寬: 457, 高: 512
2024-06-21 15:50:27,083 - DEBUG - 拖動鼠標: (1699, 711) - 寬: 457, 高: 514
